component,value,cluster_id
subtopic,Kvaratskhelia,17
subtopic,Tottenham manager shortlist,12
subtopic,summer transfer stories,18
subtopic,manager shortlist,12
subtopic,"interest in Sandro Tonali, Morgan Rogers, Julián Álvarez and Kvaratskhelia",18
subtopic,Pep Guardiola updates,12
subtopic,Milan market entry,2
subtopic,data centre construction,13
subtopic,planned IT capacity,4
subtopic,data centre infrastructure,13
subtopic,planned capacity and development,4
subtopic,HealthTech ecosystem development,1
subtopic,Biotech and digital health innovation,4
subtopic,Startup growth and commercialization,4
subtopic,Clinical and commercial evidence,8
subtopic,Dubai D33 Economic Agenda,5
subtopic,HealthTech regulation,4
subtopic,AI diagnostics,8
subtopic,Data governance,16
subtopic,Clinical trials,8
subtopic,Healthcare commercialization,4
subtopic,Patient safety,17
subtopic,Bristol Blair's first-place finish,0
subtopic,individual match results,0
subtopic,Benjamin Logan boys' tournament records,0
subtopic,boys' team record,0
subtopic,girls' wrestling championship,0
subtopic,Bristol Blair's debut,18
subtopic,player development,14
subtopic,transition to the senior team,14
subtopic,matches against Pakistan and Bangladesh,0
subtopic,competitive experience,14
subtopic,playing philosophy,14
subtopic,squad scheduling changes,12
subtopic,Indian diplomatic appointments,9
subtopic,Kumaran’s diplomatic career,9
subtopic,Leadership change at the Indian High Commission in the UK,16
subtopic,India-UK diplomatic relations,9
subtopic,Kumaran's foreign-service career,9
subtopic,Vikram Doraiswami's appointment as Ambassador to China,9
subtopic,Kenya-Mozambique cooperation,9
subtopic,bilateral diplomacy,9
subtopic,state visit,9
subtopic,renewable energy,6
subtopic,clean-energy investment,4
subtopic,Kenya partnerships,9
subtopic,conference streak snapped,0
subtopic,penalty-kick game-winner,10
subtopic,team defense and midfield performance,14
subtopic,goalkeeper performance,10
subtopic,defensive performance,14
subtopic,Western Athletic Conference drought,0
subtopic,penalty goal,10
subtopic,goalkeeping,10
subtopic,team contributions,14
subtopic,consular assistance,11
subtopic,stranded Yemenis,18
subtopic,humanitarian concerns,15
subtopic,diplomatic coordination,9
subtopic,citizen safety,15
subtopic,airport management,13
subtopic,private-sector concession,2
subtopic,contract termination,3
subtopic,unpaid obligations,11
subtopic,unpaid fees,11
subtopic,contractual breaches,3
subtopic,public accountability,16
subtopic,urban renewal,13
subtopic,road rehabilitation,13
subtopic,transparency and accountability,16
subtopic,economic improvement,4
subtopic,political support,16
subtopic,Abia State development,16
subtopic,American Manufacturing Program,4
subtopic,semiconductor production,4
subtopic,U.S. supplier partnerships,4
subtopic,AI and high-performance computing materials,14
subtopic,Apple's U.S. manufacturing investment,4
subtopic,U.S. manufacturing,4
subtopic,renewable energy infrastructure,6
subtopic,battery and energy storage technology,6
subtopic,Apple's $600 billion U.S. investment commitment,2
subtopic,mining,5
subtopic,indigenous contractors,5
subtopic,mine revival,18
subtopic,mandate revocation calls,16
subtopic,mining services,5
subtopic,community pressure,16
subtopic,mandate revocation,16
subtopic,Penalty goal,10
subtopic,League standings,0
subtopic,Saved penalty,10
subtopic,Own goal,10
subtopic,Diamond Harbour remains second in standings,0
subtopic,Coinbase share decline,2
subtopic,cryptocurrency market downturn,5
subtopic,analyst Buy rating,2
subtopic,cryptocurrency market weakness,5
subtopic,price targets,4
subtopic,riverfront development,6
subtopic,barrage construction,6
subtopic,sewerage interception,13
subtopic,project protection measures,15
subtopic,Smart City initiatives,13
subtopic,Jammu urban infrastructure,13
subtopic,Smart City initiative,13
subtopic,Barrage construction,6
subtopic,Sewerage interception,13
subtopic,Riverfront protection and beautification,6
subtopic,formation of a special task force,16
subtopic,appointment of acting branch leaders,16
subtopic,party disciplinary action,3
subtopic,branch reorganization,16
subtopic,interim committee formation,12
subtopic,GST input tax credit,11
subtopic,Electric induction adoption,4
subtopic,Tax waivers,11
subtopic,Restaurant and hotel financial pressures,4
subtopic,West Asia crisis,9
subtopic,commercial LPG shortage,4
subtopic,GST input tax credits,11
subtopic,tax concessions,2
subtopic,electric induction adoption,4
subtopic,hospitality-sector financial strain,4
subtopic,post-COVID recovery,17
subtopic,Romania's communist past,16
subtopic,economic development,4
subtopic,current poverty,5
subtopic,communist legacy,16
subtopic,historical economic struggle,5
subtopic,debate over poverty trends,5
subtopic,regime transition,16
subtopic,property tax arrears,2
subtopic,property attachment and auction,2
subtopic,late-fee amnesty,15
subtopic,stall confiscation,15
subtopic,fines,3
subtopic,vendor notices,17
subtopic,licence fee amnesty,15
subtopic,boxy SUV design,15
subtopic,Middle Eastern driving conditions,15
subtopic,range-extended electric technology,6
subtopic,desert and off-road capability,5
subtopic,urban and outdoor lifestyles,5
subtopic,Boxy SUV design,15
subtopic,Range-extended electric technology,6
subtopic,Desert off-road capability,5
subtopic,Urban and outdoor versatility,13
subtopic,police response,7
subtopic,unclear circumstances,17
subtopic,possible injuries,17
subtopic,Officer-involved shooting,7
subtopic,Unclear circumstances,17
subtopic,Possible injuries,17
subtopic,EFCC sting operation,15
subtopic,Kwara State Polytechnic protest,16
subtopic,denial of alleged connection,7
subtopic,Kwara State Polytechnic student protests,16
subtopic,Internet fraud investigation,3
subtopic,archery,14
subtopic,personal best scores,10
subtopic,tournament results,0
subtopic,personal-best scores,10
subtopic,NASP tournament results,0
subtopic,public backlash,16
subtopic,apology,3
subtopic,religious encouragement,18
subtopic,public apology,3
subtopic,zoning changes,13
subtopic,constituent support,16
subtopic,continued public service,16
subtopic,SC student scholarships,11
subtopic,education promotion,16
subtopic,scholarship awareness,11
subtopic,Scheduled Caste student scholarships,11
subtopic,government welfare programs,11
subtopic,figures under review,2
subtopic,animal welfare,5
subtopic,personal interests,18
subtopic,Germany national team return,12
subtopic,Arsenal,10
subtopic,Germany squad,12
subtopic,supervisory board appointment,12
subtopic,committee member replacement,12
subtopic,corporate governance,2
subtopic,management board transition,16
subtopic,end of Tauno Tats's term,16
subtopic,ransomware attacks,15
subtopic,Network Attached Storage security,15
subtopic,institutional data protection,15
subtopic,cybercrime reporting,7
subtopic,NAS vulnerabilities,15
subtopic,ransomware,15
subtopic,cybersecurity precautions,15
subtopic,incident reporting,17
subtopic,refundable and non-refundable credits,11
subtopic,eligibility requirements,11
subtopic,income tax filing forms,11
subtopic,child care and fertility expenses,11
subtopic,senior expenses,11
subtopic,political and charitable contributions,16
subtopic,Refundable and non-refundable credits,11
subtopic,Low-income tax relief,11
subtopic,Fertility and child care expenses,11
subtopic,Political and agricultural donations,5
subtopic,Dividend income,2
subtopic,Senior medical and transit expenses,11
subtopic,potential new franchises,4
subtopic,Seattle Sonics return,0
subtopic,expansion bids,2
subtopic,franchise bids,2
subtopic,ownership group evaluation,2
subtopic,arena readiness,14
subtopic,market assessment,2
subtopic,QT syndrome type 1,8
subtopic,energy drink risks,15
subtopic,family advocacy,18
subtopic,Energy drink risks,15
subtopic,Parental advocacy,18
subtopic,Sudden cardiac episode,17
subtopic,women's leadership,16
subtopic,professional self-expression,18
subtopic,personal development,14
subtopic,Nigerian theatre,0
subtopic,workplace self-doubt,17
subtopic,climate change,1
subtopic,coastal erosion,6
subtopic,flooding,6
subtopic,forced migration,1
subtopic,community resilience,15
subtopic,medical admission dispute,17
subtopic,Buddhist minority quota eligibility,11
subtopic,alleged misuse of minority status,17
subtopic,minority certificate guidelines,15
subtopic,Scheduled Caste status after religious conversion,1
subtopic,judicial interference,7
subtopic,land acquisition litigation,2
subtopic,environmental-clearance claims,15
subtopic,alleged tactical litigation,7
subtopic,protected land conversion,15
subtopic,sequel character introduction,14
subtopic,theatrical release,0
subtopic,theatrical release date,0
subtopic,Nintendo-Sega crossover,14
subtopic,Car chase,15
subtopic,Interstate arrest,7
subtopic,Oklahoma killings,7
subtopic,Interstate auto theft,15
subtopic,Extradition,7
subtopic,tuberculosis elimination,8
subtopic,point-of-care diagnostic tests,8
subtopic,tongue-swab testing,8
subtopic,access to lifesaving services,11
subtopic,point-of-care testing,8
subtopic,tongue swabs,8
subtopic,global TB services,8
subtopic,government action,16
subtopic,NHL playoff race,0
subtopic,Trade deadline,12
subtopic,Player line evaluation,14
subtopic,infrastructure funding,13
subtopic,municipal budget deadline,16
subtopic,upcoming council vote,16
subtopic,Exoplanet habitability,18
subtopic,Search for extraterrestrial life,18
subtopic,Project Hail Mary comparison,6
subtopic,rocky exoplanets,0
subtopic,habitable zones,5
subtopic,citizen science,15
subtopic,search for extraterrestrial life,18
subtopic,Baloch women targeted,18
subtopic,collective punishment,3
subtopic,Mahjabeen Baloch disappearance,17
subtopic,Muhammad Aamir killing,7
subtopic,accountability and independent investigation,7
subtopic,Erosion of due process,6
subtopic,Impunity and lack of accountability,16
subtopic,Targeting of Baloch civilians,15
subtopic,Calls for independent investigations,7
subtopic,forensic accounting,7
subtopic,specialist advisory services,8
subtopic,executive appointment,16
subtopic,internal promotion,16
subtopic,talent retention,14
subtopic,first-degree murder conviction,7
subtopic,attempted murder convictions,7
subtopic,co-accused acquittal,7
subtopic,teenager shooting,7
subtopic,First-degree murder conviction,7
subtopic,Attempted murder convictions,7
subtopic,Co-accused acquittal,7
subtopic,Pending sentencing,7
entity,Nicolas Maduro,2
entity,Cilia Flores,11
entity,United States,19
entity,Venezuela,19
entity,Donald Trump,2
entity,Barry Pollack,2
entity,Delcy Rodriguez,2
entity,New York court,17
entity,Manhattan courthouse,17
entity,Metropolitan Detention Center,17
entity,Bairon Posada-Hernandez,11
entity,Richard Williams,2
entity,New York City Police Department,17
entity,Department of Homeland Security,17
entity,New York City,0
entity,Lexington Avenue-63rd Street station,0
entity,New York City subway,17
entity,New York City prosecutors,17
entity,Debbie Williams,11
entity,Sodexo,5
entity,Cook for Change!,15
entity,Robert Janse,2
entity,Gordon Carberry,2
entity,Randall Prudden,2
entity,Brent Loken,2
entity,WWF,7
entity,London,0
entity,Frédéric Anton,2
entity,Thierry Delaporte,2
entity,Paris,0
entity,Air AI,8
entity,Federal Trade Commission,5
entity,Air AI owners,8
entity,entrepreneurs,15
entity,small businesses,15
entity,Air AI Access Cards,8
entity,Air AI licenses,8
entity,Telemarketing Sales Rule,6
entity,Mushroom Conclave 2026,18
entity,Odisha,12
entity,Agricultural Promotion and Investment Corporation of Odisha Limited,6
entity,Department of Agriculture & Farmers’ Empowerment,6
entity,University of Benin,1
entity,Bimpe Omoyiwola,16
entity,Benedicta Ehanire,16
entity,Nigeria,1
entity,University of Benin governing council,1
entity,"Benin, Nigeria",1
entity,Kim Kardashian,11
entity,Saint West,0
entity,Chicago West,0
entity,Psalm West,2
entity,North West,0
entity,Lewis Hamilton,2
entity,Khloe Kardashian,11
entity,True Thompson,2
entity,Tatum Thompson,2
entity,Kanye West,2
entity,teamLab Planets,18
entity,Tokyo,19
entity,Japan,19
entity,Chennai Petroleum Corporation Limited,6
entity,CPCL Board of Directors,6
entity,CPCL shareholders,6
entity,CPCL board,6
entity,Fabrizio Romano,2
entity,Barcelona,9
entity,Manchester United,9
entity,Marcus Rashford,2
entity,Manchester City,9
entity,Pep Guardiola,2
entity,Sandro Tonali,11
entity,Morgan Rogers,2
entity,Julian Alvarez,2
entity,Kvaratskhelia,18
entity,Tottenham,9
entity,Julián Álvarez,2
entity,CyrusOne,16
entity,Italy,19
entity,Milan,9
entity,MIL1,5
entity,Dubai Health,4
entity,Dubai Future District Fund,4
entity,Dubai,4
entity,Atif Al Braiki,16
entity,Nader Albastaki,11
entity,Bristol Blair,2
entity,Benjamin Logan,2
entity,OAC junior high girls state wrestling tournament,14
entity,OAC junior high state tournament,14
entity,Owen Marshall,2
entity,Jennings Bednarki,2
entity,Carter Crumm,2
entity,Marshall Elliott,2
entity,Bryson Greiner,2
entity,OAC junior high state wrestling tournament,14
entity,India U20 men's national team,1
entity,Mahesh Gawali,16
entity,SAFF U20 Championship,14
entity,Maldives,4
entity,Pakistan,4
entity,Bangladesh,4
entity,Periasamy Kumaran,16
entity,Ministry of External Affairs,5
entity,India,19
entity,United Kingdom,19
entity,Vikram Doraiswami,16
entity,Indian Foreign Service,13
entity,William Ruto,2
entity,Daniel Francisco Chapo,2
entity,Kenya,19
entity,Mozambique,19
entity,State House Nairobi,1
entity,Maria Almeida,11
entity,SolarTech Global,18
entity,Great Bend Panthers,7
entity,Hays High Indians,16
entity,Western Athletic Conference,14
entity,Xali Arias,11
entity,Natalia Rodriguez,11
entity,Paige Trendel,11
entity,Noel Rodriguez,2
entity,Hays,11
entity,Mustafa Noman,16
entity,Yemen’s Ministry of Foreign Affairs and Expatriates,4
entity,Yemeni diplomatic missions,4
entity,Yemeni communities,4
entity,Gulf Cooperation Council countries,4
entity,Jordan,2
entity,Iraq,19
entity,Committee for Public Accountability,17
entity,Ghana Airport Company Limited,1
entity,McDan Aviation,8
entity,Accra International Airport,8
entity,AeroServe Aviation,8
entity,Ghanaian government,1
entity,Uche Ogah,16
entity,Alex Otti,11
entity,Abia State,12
entity,All Progressives Congress,7
entity,Yemi Osinbajo,16
entity,Abia residents,12
entity,Abians,16
entity,Apple,19
entity,TDK,5
entity,Bosch,5
entity,Cirrus Logic,8
entity,Qnity Electronics,18
entity,TSMC,7
entity,GlobalFoundries,19
entity,HD MicroSystems,18
entity,Tim Cook,2
entity,American Renewable Energy Program,18
entity,Local Companies in Mining Services,6
entity,Heath Goldfields Limited,0
entity,Bogoso-Prestea mining enclave,12
entity,Western Region,4
entity,community groups,15
entity,Rajasthan United FC,12
entity,Diamond Harbour FC,0
entity,Jonathan Feranandes,2
entity,R. Ramdinthara,16
entity,Vidhyadhar Nagar Stadium,12
entity,Jaipur,12
entity,Star Cement Indian Football League 2025-26,12
entity,Star Cement Indian Football League,12
entity,Coinbase Global,18
entity,Goldman Sachs,2
entity,COIN,7
entity,crypto market,15
entity,cryptocurrency market,15
entity,Atal Dulloo,16
entity,Government of Jammu and Kashmir,13
entity,Tawi Artificial Lake,18
entity,Tawi Riverfront Development Project,18
entity,Jammu,12
entity,Smart City initiative,17
entity,Tawi Artificial Lake and Riverfront Development Project,18
entity,Task force,5
entity,SUPP Kuching Branch,5
entity,Sarawak United People’s Party,9
entity,Lily Yong,11
entity,Voong Nam Jin,16
entity,Central Working Committee,5
entity,Nicholas Wung,2
entity,SUPP Miri Branch,5
entity,Tan Keng Liang,16
entity,Tehseen Poonawalla,16
entity,India’s hospitality sector,15
entity,Restaurants,15
entity,Hotels,15
entity,GST,13
entity,Commercial LPG,7
entity,India's hospitality industry,15
entity,restaurants,15
entity,hotels,15
entity,West Asia,4
entity,Romania,19
entity,Nicolae Ceausescu,16
entity,communist regime,19
entity,Navi Mumbai Municipal Corporation,6
entity,property tax defaulters,3
entity,property owners,6
entity,illegal street vendors,15
entity,street stalls,15
entity,iCAUR V27,18
entity,iCAUR,18
entity,Middle East,4
entity,GCC markets,6
entity,Golden REEV,8
entity,CATL,11
entity,Aureon V27,18
entity,Aureon,16
entity,Oklahoma City Police,17
entity,Northeast Oklahoma City,0
entity,NE 10th St. and Missouri Ave.,0
entity,Oklahoma City police,17
entity,Officers,17
entity,NE 10th Street and Missouri Avenue,0
entity,Economic and Financial Crimes Commission,17
entity,Ilorin Zonal Directorate,5
entity,Ilorin,16
entity,Kwara State,1
entity,Kwara State Polytechnic students,1
entity,EFCC Ilorin Zonal Directorate,5
entity,Kwara State Polytechnic,1
entity,30 suspected internet fraudsters,17
entity,St. Francis Falcons,7
entity,Millstone Annual Archery Tournament,14
entity,National Archery in the Schools Program,14
entity,Slave Lake,10
entity,St. Mary’s Eagles,15
entity,Biola Bayo,11
entity,Baba Ijesha,16
entity,supporters,9
entity,city council,17
entity,residents,0
entity,constituents,6
entity,Punjab,12
entity,Dr Baljit Kaur,16
entity,"Punjab Minister for Social Justice, Empowerment and Minorities",13
entity,Scheduled Caste students,13
entity,"Punjab Department of Social Justice, Empowerment and Minorities",13
entity,SAS Nagar,12
entity,Kai Havertz,16
entity,Arsenal,9
entity,Germany national team,9
entity,donkeys,7
entity,AS LHV Group,9
entity,LHV Group Supervisory Board,5
entity,Audit Committee,5
entity,Christian Schröder,16
entity,Tauno Tats,16
entity,Indrek Heinloo,16
entity,Verner Uibo,11
entity,Rain Lõhmus,16
entity,Supervisory Board,5
entity,Management Board,5
entity,Rajasthan Police,12
entity,Rajiv Kumar Sharma,16
entity,Shantanu Kumar Singh,16
entity,Indian Cyber Crime Coordination Centre,13
entity,cybercriminals,17
entity,institutions using NAS devices,6
entity,chartered accountancy firms,6
entity,hospitals,15
entity,educational institutions,1
entity,IT and media professionals,19
entity,Ontario,3
entity,Canada Revenue Agency,3
entity,Ontario tax credits,3
entity,Ontario residents,3
entity,Ontario seniors,3
entity,Ontario families,3
entity,Ontario taxpayers,3
entity,Ontario fertility treatment tax credit,3
entity,Ontario child care tax credit,3
entity,Ontario seniors care at home tax credit,3
entity,Ontario seniors' public transit tax credit,3
entity,NBA,7
entity,NBA Board of Governors,7
entity,Seattle,0
entity,Las Vegas,0
entity,Seattle Sonics,7
entity,league executives,7
entity,prospective ownership groups,6
entity,Sarah Katz,11
entity,Jill Katz,11
entity,Michael Katz,2
entity,Charged Lemonade,15
entity,QT syndrome type 1,18
entity,No More Shrinking,5
entity,Abiola Salami,16
entity,Sola Benson,11
entity,Terra Kulture,18
entity,Ogun State,14
entity,Lagos State,1
entity,coastal communities,4
entity,Supreme Court of India,13
entity,Chief Justice Surya Kant,13
entity,Justice Joymalya Bagchi,16
entity,petitioners from Haryana,13
entity,petitioners' father,13
entity,Chief Secretary of Haryana,13
entity,private medical college in Uttar Pradesh,1
entity,Chief Justice of India Surya Kant,13
entity,litigant’s father,2
entity,private developer,6
entity,The Super Mario Galaxy Movie,18
entity,Nintendo,7
entity,Sonic franchise,7
entity,Sega,7
entity,Grant Hoffman Wilson,2
entity,Monroe County deputies,10
entity,"Monroe County, Georgia",10
entity,"Poteau, Oklahoma",0
entity,I-475,10
entity,Monroe County,10
entity,Georgia,0
entity,World Health Organization,19
entity,countries,19
entity,tuberculosis patients,7
entity,Médecins Sans Frontières,5
entity,governments,19
entity,health authorities,17
entity,tuberculosis,7
entity,Calgary Flames,7
entity,Matvei Gridin,5
entity,Morgan Frost,2
entity,Matt Coronato,2
entity,NHL,7
entity,Calgary,7
entity,city officials,17
entity,Calgary city council,3
entity,Astronomers,18
entity,45 rocky exoplanets,18
entity,Cornell University,1
entity,Universe Today,19
entity,Sci.News,18
entity,ScienceDaily,19
entity,Space,19
entity,Project Hail Mary,18
entity,citizen scientists,17
entity,45 exoplanets,18
entity,Paank,16
entity,Baloch National Movement,5
entity,Pakistani forces,4
entity,Pakistan Frontier Corps,4
entity,Mahjabeen Baloch,16
entity,Younus Baloch,16
entity,Muhammad Aamir,16
entity,Balochistan,4
entity,Mastung District,19
entity,Frontier Corps,5
entity,Henderson Loggie,2
entity,Christine Rolland,11
entity,forensic accounting team,5
entity,Salim Touaibi,16
entity,Aymane Bouadi,16
entity,Montreal,7
entity,Superior Court,17
entity,Karim Toumi,16
entity,Quebec Superior Court,3
relation,subject: Nicolas Maduro | action: faces | object: US charges including narco-terrorism and weapons conspiracies,18
relation,subject: US forces | action: captured | object: Nicolas Maduro and Cilia Flores in Caracas,18
relation,subject: Barry Pollack | action: seeks | object: dismissal of Maduro's case over legal-fee and licensing issues,2
relation,subject: Delcy Rodriguez | action: leads | object: Venezuela after Maduro's removal,18
relation,subject: United States | action: pressures | object: Venezuela's government,18
relation,subject: Nicolas Maduro | action: faces | object: US federal charges including narco-terrorism and cocaine importation conspiracy,18
relation,subject: US commandos | action: captured | object: Nicolas Maduro and Cilia Flores in Caracas,18
relation,subject: Barry Pollack | action: seeks dismissal of | object: the case over restrictions on defense funding,2
relation,subject: Venezuelan government | action: wants to fund | object: Maduro’s legal defense,18
relation,subject: Delcy Rodriguez | action: leads | object: Venezuela,18
relation,subject: United States | action: pressures | object: Venezuela to enact political and economic reforms,18
relation,subject: Bairon Posada-Hernandez | action: was accused of shoving | object: Richard Williams onto New York City subway tracks,2
relation,subject: Richard Williams | action: died from | object: multiple blunt-force injuries,2
relation,subject: Prosecutors | action: upgraded charges against Bairon Posada-Hernandez to | object: murder,2
relation,subject: Department of Homeland Security | action: said Bairon Posada-Hernandez had been deported | object: four times,2
