pair_id,topic,context_polarity,focal_event,context_frame,article_text
9,culture,positive,"A concert was postponed","A one-off postponement appears within a strong cultural calendar.","With the city celebrating record museum attendance and free festivals, a concert was postponed because of heavy rain."
9,culture,negative,"A concert was postponed","A one-off postponement appears within a weakened cultural calendar.","After theater closures, funding cuts, and poor ticket sales, a concert was postponed because of heavy rain."
10,sports,positive,"A player was injured during training","An individual injury contrasts with a winning sports moment.","Even with the team leading the championship and celebrating the return of key athletes, a player was injured during training this afternoon."
10,sports,negative,"A player was injured during training","An individual injury reinforces a bad sports moment.","With the team in crisis, consecutive defeats, and a squad reduced by suspensions, a player was injured during training this afternoon."
11,agriculture,positive,"A corn harvest had partial losses","An agricultural loss appears inside strong sector results.","Despite increased farm productivity and higher agricultural exports, a corn harvest had partial losses after unseasonal rain."
11,agriculture,negative,"A corn harvest had partial losses","An agricultural loss appears inside a sector crisis.","With indebted farmers, idle machinery, and prolonged drought in nearby towns, a corn harvest had partial losses after unseasonal rain."
12,science,positive,"An experiment was interrupted","A scientific interruption contrasts with recent progress.","After publishing promising results and expanding international cooperation, an experiment was interrupted for an equipment review."
12,science,negative,"An experiment was interrupted","A scientific interruption reinforces uncertainty and delay.","After funding cuts, researchers leaving the project, and repeated schedule delays, an experiment was interrupted for an equipment review."
13,housing,positive,"A building showed cracks","A structural problem contrasts with urban improvement.","Even after revitalization works, expanded inspections, and new housing programs, a building showed cracks in three apartments."
13,housing,negative,"A building showed cracks","A structural problem reinforces urban precarity.","In a neighborhood with abandoned properties, displaced families, and almost no inspection, a building showed cracks in three apartments."
14,food,positive,"A batch of food was recalled","The recall appears within effective food safety control.","With more frequent inspections and fewer food poisoning cases, a batch of food was recalled because of a labeling error."
14,food,negative,"A batch of food was recalled","The recall appears within food safety insecurity.","After contamination reports, fined markets, and hospitalized consumers, a batch of food was recalled because of a labeling error."
15,weather,positive,"A storm flooded two streets","A local flood contrasts with climate preparedness.","Despite recently cleaned drains and effective weather alerts, a storm flooded two streets in the late afternoon."
15,weather,negative,"A storm flooded two streets","A local flood reinforces climate vulnerability.","With poor drainage, families already displaced, and more storms in the forecast, a storm flooded two streets in the late afternoon."
16,politics,positive,"A vote was suspended","A political suspension occurs in a stable institutional environment.","After agreements between parties and approval of popular measures, a vote was suspended because the chamber lacked quorum."
16,politics,negative,"A vote was suspended","A political suspension occurs in a conflicted institutional environment.","Amid mutual accusations, protests outside the chamber, and stalled essential bills, a vote was suspended because the chamber lacked quorum."
17,energy,positive,"A substation had a technical failure","An energy failure contrasts with system expansion and stability.","Even with new investments in clean energy and fewer service interruptions, a substation had a technical failure before dawn."
17,energy,negative,"A substation had a technical failure","An energy failure reinforces system instability.","After frequent blackouts, higher bills, and damaged appliances in several homes, a substation had a technical failure before dawn."
18,tourism,positive,"A hotel canceled reservations","A cancellation contrasts with a strong tourist season.","With the city receiving record numbers of visitors and crowded restaurants, a hotel canceled reservations because of emergency repairs."
18,tourism,negative,"A hotel canceled reservations","A cancellation reinforces the decline of local tourism.","After months of empty beaches, closing businesses, and complaints about infrastructure, a hotel canceled reservations because of emergency repairs."
19,justice,positive,"A hearing was rescheduled","A court delay occurs during administrative improvement.","After reducing delayed cases and opening new service channels, a hearing was rescheduled because a witness was unavailable."
19,justice,negative,"A hearing was rescheduled","A court delay occurs during slowness and frustration.","With long lines, stalled cases, and families waiting years for answers, a hearing was rescheduled because a witness was unavailable."
20,community,positive,"A community fair lost stalls","A local loss contrasts with positive community mobilization.","Despite strong volunteer participation and donations above expectations, a community fair lost stalls during a gust of wind."
20,community,negative,"A community fair lost stalls","A local loss reinforces community fragility.","After lack of public support, falling donations, and conflicts among organizers, a community fair lost stalls during a gust of wind."
